year,total_mmtco2e,n_facilities,t2m_mean_c,vpd_annual_kpa,rh_mean_pct,wind_mean_ms,sp_mean_hpa,sst_mean_c,precip_rate_idx,t2m_jja_c,vpd_jja_kpa,t2m_anom_c,co2,total_ghg,co2_per_gdp
2010,3196.6,6297,14.090537278652926,0.6913610423187353,64.70771242698295,2.0033140112463212,955.8880998011491,20.862257267840626,2.358931549016153,23.263488248454152,1.0563215985630734,-0.46699374090632695,5669.25,6823.523,0.372
2011,3318.4,7670,14.244406730875736,0.735844363893363,63.64157109975135,1.989458822614625,956.574183118445,20.89738378311156,2.190250943643004,23.45064975060457,1.183587140880063,-0.3131242886835164,5538.973,6523.64,0.358
2012,3169.3,7914,15.135053018973196,0.7674626986136067,62.51725308300936,1.898557498216551,956.8337803179638,21.287114328927625,2.1777104423470326,23.491890036468245,1.2000166074666676,0.5775219994139427,5331.467,6388.708,0.337
2013,3189.6,7997,13.826692327634824,0.6786594694487936,64.82324665605799,1.999770427580895,957.6596013456793,21.057126967482763,2.3495599012311916,22.917635359455577,1.0563141446068733,-0.7308386919244292,5473.436,6488.665,0.339
2014,3204.0,8218,13.988453740056968,0.6836623946656689,64.40236557077468,1.8218260924430467,957.1023871602455,21.381648611772533,2.4192906418055076,22.63425845762318,1.0279844343517148,-0.5690772795022845,5531.385,6610.767,0.335
2015,3058.1,8062,14.817534190861918,0.6867108848895294,65.40848937346728,1.8838160193151785,957.5273449607604,21.841736555195535,2.4886911926748962,23.217298018769288,1.0520849902951832,0.2600031713026656,5368.497,6408.286,0.317
2016,2983.1,7787,15.027890394728354,0.7171138887746111,64.59750247101795,1.9098839822775098,957.368861637215,21.666971999186185,2.4289394018970376,23.491508612448396,1.1055322227769484,0.4703593751691013,5245.362,6308.617,0.305
2017,2926.0,7719,14.863254952219833,0.7059984356172343,64.94769825075741,1.960788122032031,956.9782361282658,21.40881056421945,2.530509841808975,23.062725732210335,1.0622474341291626,0.3057239326605803,5195.417,6319.225,0.295
2018,2989.6,7844,14.445772076489822,0.6875902251094274,65.63906637948176,1.949062452294352,957.8984429224248,21.409619257080937,2.6089721433942787,23.448626198829782,1.0944293323810015,-0.11175894306943057,5361.236,6466.737,0.296
2019,2861.5,7856,14.1652806430478,0.6738798043511075,66.02643407359018,1.8393319650246915,957.0255436171742,21.398060475630942,2.6635043665872624,23.094332499860553,1.0715587656677534,-0.392250376511452,5235.912,6360.787,0.282
2020,2605.2,7838,14.912607729491489,0.733954228628002,63.72094815278799,1.9276721070828844,957.512071847748,21.452783608706124,2.330213940063887,23.608545327416042,1.1550508152698056,0.35507670993223606,4689.954,5758.456,0.26
2021,2719.5,7810,14.900786732980606,0.7215562024927427,63.88522630580019,1.9144305729609898,957.3081960360486,21.313879563409348,2.351842149648581,23.609031927632483,1.0866974181896303,0.3432557134213532,5020.111,6131.129,0.263
2022,2696.9,7744,14.430371219116653,0.7301290668828632,63.28323283160663,1.9476415882380802,957.5493869210883,21.47880748916052,2.331491167711152,23.537703404174213,1.128097164388836,-0.1271598004426,5055.403,6201.504,0.259
2023,2578.6,7678,14.956793238699406,0.7279192137429332,64.67474347169828,1.7834382941323188,956.8075882232012,21.469910921810413,2.340384005167182,23.4434265540125,1.1343416525417824,0.39926221914015336,4918.407,6078.455,
